               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   2,            0.096372,            0.038386,            0.061176,             0.60906,             0.10037,            0.058251,            0.020613,             0.09693,            0.027832,            0.058408,           0.0098596,           0.0078596,           0.0078596
                   3,            0.092021,            0.038026,            0.056472,             0.55124,             0.13972,             0.10867,            0.047751,            0.084735,            0.025139,            0.053174,             0.00703,             0.00703,             0.00703
                   4,            0.087083,            0.036794,              0.0523,             0.59636,             0.18056,             0.14494,            0.059475,            0.081778,            0.023068,            0.049284,             0.00703,             0.00703,             0.00703
                   5,            0.082852,            0.035654,            0.050265,             0.70594,             0.19003,             0.18471,            0.080904,            0.076168,            0.022278,            0.046411,             0.00604,             0.00604,             0.00604
                   6,            0.079329,            0.036745,            0.048365,             0.70583,               0.188,             0.19826,             0.08603,            0.076827,            0.021898,            0.044482,             0.00505,             0.00505,             0.00505
                   7,            0.077421,             0.03603,            0.046238,             0.74927,              0.2062,             0.23413,             0.10909,            0.073019,            0.021485,            0.043309,             0.00406,             0.00406,             0.00406
                   8,            0.075058,            0.035485,            0.045112,             0.75903,             0.21523,             0.25148,             0.12253,            0.069909,            0.021109,            0.042288,             0.00307,             0.00307,             0.00307
                   9,            0.074408,            0.035322,             0.04488,             0.73518,             0.23576,             0.26447,             0.13622,            0.068339,            0.020873,            0.041612,             0.00208,             0.00208,             0.00208
                   0,             0.12442,            0.035747,            0.083008,           0.0038165,             0.16285,            0.011929,           0.0042111,             0.10946,            0.027099,            0.078626,              0.0712,              0.0032,              0.0032
                   1,             0.10539,            0.040929,            0.072449,             0.35172,            0.072751,             0.02002,           0.0067003,             0.10069,             0.03161,            0.065784,            0.041285,           0.0062855,           0.0062855
                   2,            0.097196,            0.038094,            0.060489,             0.53665,              0.1193,            0.040847,              0.0125,             0.10357,            0.027674,            0.057721,            0.011153,           0.0091532,           0.0091532
                   3,            0.094006,            0.037256,            0.055395,             0.55927,             0.15259,             0.11234,            0.043503,            0.086168,            0.024477,            0.051663,             0.00901,             0.00901,             0.00901
